id	Latitude	Longitude	Order	ifhqmag
362	34.308	-87.50314	Lecanoromycetes	1
363	34.32911	-87.50922	Lecanoromycetes	1
364	34.32911	-87.50922	Lecanoromycetes	1
365	34.32911	-87.50922	Lecanoromycetes	0
366	34.32911	-87.50922	Lecanoromycetes	1
367	34.3092	-87.3947	Lecanoromycetes	0
368	34.32911	-87.50922	Lecanoromycetes	1
369	34.32911	-87.50922	Lecanoromycetes	1
370	34.32911	-87.50922	Lecanoromycetes	1
371	34.97881	-86.08822	Lecanoromycetes	1
372	34.97881	-86.08822	Lecanoromycetes	1
373	34.97881	-86.08822	Lecanoromycetes	0
374	34.97881	-86.08822	Eurotiomycetes	1
375	34.35056	-85.67525	Lecanoromycetes	1
376	34.94025	-85.97656	Lecanoromycetes	1
377	34.95553	-85.99956	Lecanoromycetes	1
378	34.95553	-85.99956	Lecanoromycetes	0
379	34.95553	-85.99956	Lecanoromycetes	0
380	34.95553	-85.99956	Lecanoromycetes	1
381	34.95553	-85.99956	Lecanoromycetes	0
382	34.95553	-85.99956	Lecanoromycetes	1
383	34.95553	-85.99956	Lecanoromycetes	0
384	34.95553	-85.99956	Lecanoromycetes	0
385	34.95553	-85.99956	Lecanoromycetes	0
386	34.97797	-85.81031	Lecanoromycetes	0
387	34.97797	-85.81031	Lecanoromycetes	0
388	35.08	-80.9	Lecanoromycetes	1
389	35.99	-79.01	Lecanoromycetes	1
390	35.98	-78.39	Lichinomycetes	0
391	36.01	-78.9	Lecanoromycetes	0
392	41.0461	9.4461	Lecanoromycetes	1
393	59.42553	10.60794	Lecanoromycetes	1
394	41.141758	-3.306956	Lecanoromycetes	1
395	47.3	-114.8	Lecanoromycetes	1
396	47.2	-113.9	Unknown	0
397	46.83	-114.1	Lecanoromycetes	0
398	47.4	-113.64	Lecanoromycetes	0
399	54.620267	-104.365267	Lecanoromycetes	1
400	53.339535	-117.819725	Lecanoromycetes	0
401	53.541118	-117.121443	Lecanoromycetes	1
402	53.541118	-117.121443	Lecanoromycetes	1
403	62.699617	-116.1392	Lecanoromycetes	1
404	54.635033	-104.56195	Lecanoromycetes	1
405	51.2584	-118.320667	Lecanoromycetes	1
406	53.541118	-117.121443	Unknown	1
407	56.584167	-119.709717	Lecanoromycetes	1
408	52.789926	-112.707968	Lecanoromycetes	1
409	54.7656	-115.534733	Lecanoromycetes	1
410	53.4593	-118.2515	Lecanoromycetes	1
411	54.972767	-101.460483	Lecanoromycetes	1
412	53.07	-117.23	Lecanoromycetes	0
413	52.8878418	-117.2430348	Unknown	1
414	52.8878418	-117.2430348	Lecanoromycetes	1
415	54.6058502	-115.8307829	Lecanoromycetes	1
416	52.8878418	-117.2430348	Lecanoromycetes	1
417	52.94	-117.38	Unknown	1
418	52.94	-117.38	Unknown	0
419	54.43	-112.97	Lecanoromycetes	0
420	52.8878418	-117.2430348	Lecanoromycetes	1
421	62.51	-114.31	Unknown	0
422	52.100011	-116.4119962	Lecanoromycetes	1
423	47.07	14.56	Lecanoromycetes	0
424	-41.13	-71.39	Unknown	0
425	44.59	-123.41	Lecanoromycetes	0
426	44.5912134	-123.2344099	Lecanoromycetes	1
427	46.56742	-114.63975	Lecanoromycetes	0
428	44.0301	-71.51789	Lecanoromycetes	1
429	47	-114	Lecanoromycetes	1
430	47.17965	-113.95163	Lecanoromycetes	1
431	46.9149018	-113.6762681	Lecanoromycetes	1
432	52.4142394	-115.0558375	Lecanoromycetes	1
433	43.4476848	-123.5268795	Lecanoromycetes	1
434	60.185	5.465	Lecanoromycetes	1
435	64.4167	10.9333	Lecanoromycetes	1
436	50.9214811	-116.4053208	Lecanoromycetes	1
437	50.9214811	-116.4053208	Lecanoromycetes	1
438	37.434722222	104.582777778	Lecanoromycetes	0
439	39.541944444	101.109444444	Lecanoromycetes	0
440	39.541944444	101.109444444	Lecanoromycetes	0
441	31.103055556	115.7725	Lecanoromycetes	1
442	27.84	117.772222222	Lecanoromycetes	1
443	27.84	117.772222222	Lecanoromycetes	0
444	27.710833333	117.6425	Lecanoromycetes	1
445	27.84	117.772222222	Lecanoromycetes	0
446	31.619444444	114.813611111	Lecanoromycetes	1
447	40.424444444	113.768611111	Eurotiomycetes	0
